Deep Neural Networks pruning via the Structured Perspective Regularization,Climate Change Mitigation,N/A,Energy Efficiency in Buildings,N/A,909b90572d80fa8ef5c8d913c84d09cc
"The paper explores how vesicular trafficking impacts the response of acute myeloid leukemia (AML) cells to statin treatments. The study identifies that protein geranylgeranylation and RAB proteins play significant roles in mediating the effects of statins on AML cell viability. By inhibiting vesicle-mediated transport, statins can effectively target AML cells, making vesicular trafficking a novel vulnerability in this disease. The research suggests the potential for using statins as part of AML treatment, particularly in leveraging vesicular trafficking pathways.",The paper primarily focuses on medical research related to cancer (acute myeloid leukemia) and does not address eco-responsible topics or applications related to the predefined categories in climate science or sustainability.,,"The sub-categories provided do not pertain to the medical research focus of the paper, which centers on the cellular mechanisms of statin response in leukemia.",,
Vision-Language Pretraining: Current Trends and the Future,N/A,N/A,N/A,N/A,92cb7282c530ec3fc0e7391040677811
"The paper is a tutorial on the current trends in vision-language pretraining. It provides a historical context, overviews the current state, and delves into the future of vision-language models, focusing on their strengths, limitations, and potential methods for improvement. It addresses various models, datasets, and the implications of biases and ethical concerns in these systems.","The paper is primarily focused on providing an overview of current trends in vision-language pretraining, rather than directly addressing any eco-responsible AI category.",,"The discussion does not center around a specific eco-responsible application or sub-category, but rather on technical challenges and developments in AI and vision-language models.",,
When Do We Need Graph Neural Networks for Node Classification?,N/A,N/A,N/A,N/A,8f3f1e011732f20d7a7403b28a5c06d4
"This paper investigates the conditions under which Graph Neural Networks (GNNs) outperform traditional Neural Networks (NNs) in node classification tasks. Using graph signal processing and statistical hypothesis testing, the authors propose two measures, Normalized Total Variation (NTV) and Normalized Smoothness Value (NSV), to evaluate the impact of edge biases on feature and label performance on graphs. The study aims to predict when GNNs have performance advantages over graph-agnostic models like Multi-Layer Perceptron (MLP) on non-trivial graph datasets by conducting statistical analysis based on these measures.",The paper focuses on the theoretical and methodological aspects of Graph Neural Networks for node classification and does not specifically address any eco-responsible applications or sectors.,,The paper does not target any specific eco-responsible sub-category as it concentrates on the methodological aspect of node classification using GNNs rather than environmental applications.,,
Where to Begin? On the Impact of Pre-Training and Initialization in Federated Learning,N/A,N/A,N/A,N/A,905556a332272abb5af4285e6b61fe4e
"This paper investigates the impact of pre-training and initialization on federated learning, a distributed machine learning paradigm. It explores how starting from a pre-trained model affects federated optimization methods particularly in scenarios with data heterogeneity and system heterogeneity. The study is conducted on four standard federated learning benchmark datasets, showing that pre-trained models improve training efficiency and model accuracy.","While the paper contributes to methodological advancements in machine learning, it does not focus on applying federated learning specifically to eco-responsible topics such as climate change, pollution reduction, or sustainable finance.",,"No specific sub-category within eco-responsible AI applications fits the topics discussed in this paper, which focuses on improving federated learning techniques.",,
,N/A,,N/A,,
,"There is no direct application or mention of eco-responsible topics like climate change, biodiversity, or pollution in the paper.",,The paper does not engage with any secondary eco-responsible sub-categories as it primarily addresses technical aspects of federated learning unrelated to environmental or sustainable development issues.,,
MasakhaNEWS: News Topic Classification for African languages,Support to Global South,N/A,Climate Data,N/A,8d7bdd4beada9952b0276e08e2ac4e9d
"The paper presents MasakhaNEWS, a benchmark dataset designed to address the under-representation of African languages in NLP research. It covers 16 languages and supports news topic classification with a consistent labeling scheme. Various machine learning models and techniques such as cross-lingual parameter-efficient fine-tuning and few-shot learning are evaluated on this dataset, demonstrating the potential for improving NLP capabilities in African languages.","The paper aims to improve NLP resources and capabilities for African languages, which are largely spoken in developing regions of the Global South.","Global issue already identified in the ai4h_cat_01 sheet. The ""Support to Global South"" category has a broader meaning for the AI and is not automatically correlated to climate-related topics. ""In this paper, we develop MasakhaNEWS — a new benchmark dataset for news topic classification covering 16 languages widely spoken in Africa.""","The paper seeks to support analyses and utilization of data for African languages, indirectly contributing to the broader access to data needed for various applications.","Global issue already identified in the ai4h_cat_01 sheet. The ""Support to Global South"" category has a broader meaning for the AI and is not automatically correlated to climate-related topics. ""In this paper, we develop MasakhaNEWS — a new benchmark dataset for news topic classification covering 16 languages widely spoken in Africa.""",
,N/A,N/A,N/A,N/A,
,"The main focus of the paper is on language representation and NLP benchmarks for African languages, which does not directly align with other eco-responsible categories provided.",,The sub-categories provided do not match the focus on NLP tasks for African languages.,,
AICOM-MP: an AI-based Monkeypox Detector for Resource-Constrained Environments,Support to Global South,N/A,N/A,N/A,90f530843c5b4d59b7694226a7e64aad
"The paper discusses the development and implementation of AICOM-MP, an AI-based tool designed to detect monkeypox in images from resource-constrained environments, like low-end mobile devices. This tool aims to improve healthcare access in least developed countries by being part of Autonomous Mobile Clinics (AMCs), which are autonomous vehicles equipped with medical diagnostic equipment and AI technology. The AICOM-MP tool achieves state-of-the-art accuracy by using a comprehensive dataset and attention model inspired by medical professionals' diagnostic practices. The research emphasizes making the technology universally accessible, including through offline capabilities.","The paper focuses on enabling healthcare access in least developed countries through the AICOM-MP tool, which is expressly designed for use in resource-constrained environments typical of the Global South.","Global issue already identified in the ai4h_cat_01 sheet. The ""Support to Global South"" category has a broader meaning for the AI and is not automatically correlated to climate-related topics. ""Under the Autonomous Mobile Clinics (AMCs) initiative, we are developing, open sourcing, and standardizing health AI technologies to enable healthcare access in least developed countries (LDCs).""","The paper does not align with any predefined sub-categories focused on environmental or resource efficiency. Its emphasis is specifically on healthcare delivery in resource-constrained environments, a topic not covered by the existing sub-categories.",,
,N/A,N/A,N/A,N/A,
,"The paper primarily focuses on healthcare access in resource-constrained environments, which are specific to the Global South, and does not directly relate to other eco-responsible AI categories.",,There are no direct secondary subcategories applicable as the paper is centered around healthcare access in the Global South rather than on other eco-responsible AI themes.,,
Technology-enhanced trauma training in low-resource settings: A scoping review and feasibility analysis of educational technologies.,Support to Global South,N/A,Policy Advice and Knowledge Sharing,N/A,923d9e231590ab2191baec7685af8fc4
"This paper investigates the use of educational technologies to improve trauma training in low- and lower-middle-income countries (LMICs). It conducts a scoping review of existing technologies used in trauma courses and evaluates their feasibility for use in LMICs. The study found that high-fidelity mannequins, though effective, were not suitable due to high costs and maintenance challenges, while virtual simulation and digital courses showed higher feasibility scores for these settings.","The paper focuses on enhancing trauma training in low- and lower-middle-income countries, addressing the need for educational technologies that are feasible and effective in these low-resource settings.","Global issue already identified in the ai4h_cat_01 sheet. The ""Support to Global South"" category has a broader meaning for the AI and is not automatically correlated to climate-related topics. ""We identified that the majority of trauma courses in the literature use technologies which are less suitable for LMICs. Given the urgent need for pediatric trauma training, educators must use technologies that optimize learning outcomes and remain feasible for low-resource settings.""","The paper shares insights and analyses regarding technology-enhanced trauma training that may inform policy and practice in LMICs, particularly suited for low-resource environments.","Global issue already identified in the ai4h_cat_01 sheet. The ""Support to Global South"" category has a broader meaning for the AI and is not automatically correlated to climate-related topics. ""We identified that the majority of trauma courses in the literature use technologies which are less suitable for LMICs. Given the urgent need for pediatric trauma training, educators must use technologies that optimize learning outcomes and remain feasible for low-resource settings.""",
,N/A,N/A,N/A,N/A,
,The paper primarily focuses on educational technologies in the context of healthcare and does not explicitly relate to other eco-responsible AI categories outside of its application to the Global South.,,"The focus is specifically on trauma training technologies and their feasibility in LMICs, without branching into other sub-categories beyond policy and knowledge sharing.",,
Who Controlled the Evidence? Question Answering for Disclosure Information Extraction,Sustainable Finance,N/A,"Environmental, Social and Governance (ESG) and Disclosures",N/A,9226b5d8ab549429309ce36d2c011c44
"The paper proposes a novel task called COIRelationExt, focusing on extracting information about relationships between sponsoring industries and the studies they sponsor from disclosure statements. The task involves recognizing entities and extracting their relationships to the study using a Question Answering-based method, resolving challenges related to diverse relationship patterns and low-resource datasets.","The paper focuses on extracting relationships regarding conflicts of interest in research, which aligns with Environmental, Social, and Governance (ESG) components of Sustainable Finance, aiming to support disclosure transparency and accountability in sponsored research.","Even if identifying conflicts of interest could lead to better and more sustainable practices in research, the authors insist on ""the role of sponsors in the production of health-research"" and don't focus on climate-related topics. ""In this paper, we introduce a new task called COIRelationExt where, given a disclosure statement in the form of an unstructured text, we seek to extract information about the relationships between the sponsoring industry and the study itself""","The paper's main task is to extract and analyze disclosure statements to identify relationships between sponsors and research, fitting well within the ESG and Disclosures sub-category which focuses on transparency and accountability.","Even if identifying conflicts of interest could lead to better and more sustainable practices in research, the authors insist on ""the role of sponsors in the production of health-research"" and don't focus on climate-related topics. ""In this paper, we introduce a new task called COIRelationExt where, given a disclosure statement in the form of an unstructured text, we seek to extract information about the relationships between the sponsoring industry and the study itself""",
,N/A,N/A,N/A,N/A,
,"The primary focus is on COI and research transparency, and it does not directly link to another eco-responsible category.",,The paper does not explore other eco-responsible sub-categories.,,
